4902 東証1部 コニカミノルタ(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2005-01-04","1342","1360","1341","1355","543000","1355"
"2005-01-05","1356","1356","1333","1334","1757500","1334"
"2005-01-06","1335","1357","1335","1357","2072500","1357"
"2005-01-07","1365","1373","1361","1365","1680500","1365"
"2005-01-11","1384","1393","1379","1390","2044500","1390"
"2005-01-12","1384","1390","1381","1387","1385000","1387"
"2005-01-13","1380","1394","1367","1384","1733000","1384"
"2005-01-14","1398","1405","1384","1389","3109000","1389"
"2005-01-17","1401","1404","1391","1393","1006500","1393"
"2005-01-18","1393","1397","1374","1377","1217500","1377"
"2005-01-19","1393","1395","1380","1388","1202500","1388"
"2005-01-20","1368","1372","1347","1355","1985500","1355"
"2005-01-21","1352","1360","1338","1338","967500","1338"
"2005-01-24","1345","1370","1340","1355","783500","1355"
"2005-01-25","1369","1369","1338","1343","2110000","1343"
"2005-01-26","1363","1373","1355","1367","891500","1367"
"2005-01-27","1354","1362","1345","1349","1551000","1349"
"2005-01-28","1335","1348","1317","1322","2060500","1322"
"2005-01-31","1310","1319","1297","1300","4090000","1300"
"2005-02-01","1320","1322","1299","1308","2743500","1308"
"2005-02-02","1324","1327","1312","1317","1381500","1317"
"2005-02-03","1300","1305","1290","1294","2844500","1294"
"2005-02-04","1274","1283","1252","1260","3929000","1260"
"2005-02-07","1260","1263","1249","1260","3683500","1260"
"2005-02-08","1256","1258","1227","1230","4084000","1230"
"2005-02-09","1230","1243","1214","1234","4849000","1234"
"2005-02-10","1222","1236","1214","1230","6060000","1230"
"2005-02-14","1251","1254","1236","1244","3662000","1244"
"2005-02-15","1250","1253","1239","1245","3530500","1245"
"2005-02-16","1225","1230","1215","1219","3129500","1219"
"2005-02-17","1216","1224","1205","1217","2079000","1217"
"2005-02-18","1214","1262","1211","1250","7453000","1250"
"2005-02-21","1250","1265","1238","1254","7077500","1254"
"2005-02-22","1240","1245","1217","1222","5904000","1222"
"2005-02-23","1223","1226","1215","1220","4152500","1220"
"2005-02-24","1227","1227","1215","1219","3261000","1219"
"2005-02-25","1225","1246","1222","1243","3079500","1243"
"2005-02-28","1244","1249","1232","1240","3511000","1240"
"2005-03-01","1239","1247","1238","1245","2343000","1245"
"2005-03-02","1261","1261","1246","1248","2951500","1248"
"2005-03-03","1261","1262","1253","1261","2722000","1261"
"2005-03-04","1264","1272","1258","1266","4063500","1266"
"2005-03-07","1280","1285","1273","1283","4202500","1283"
"2005-03-08","1288","1292","1281","1287","3792000","1287"
"2005-03-09","1290","1304","1279","1290","3958500","1290"
"2005-03-10","1270","1274","1243","1245","3923000","1245"
"2005-03-11","1235","1247","1233","1236","7150000","1236"
"2005-03-14","1240","1249","1229","1233","2181000","1233"
"2005-03-15","1216","1222","1195","1208","7567000","1208"
"2005-03-16","1197","1207","1183","1197","5346500","1197"
"2005-03-17","1205","1215","1198","1208","3750000","1208"
"2005-03-18","1168","1191","1154","1175","8453000","1175"
"2005-03-22","1194","1194","1172","1178","4070500","1178"
"2005-03-23","1174","1175","1153","1169","3508000","1169"
"2005-03-24","1160","1160","1123","1130","4842000","1130"
"2005-03-25","1137","1137","1123","1131","3156500","1131"
"2005-03-28","1106","1133","1098","1120","5807000","1120"
"2005-03-29","1101","1112","1080","1084","5453500","1084"
"2005-03-30","1064","1070","1055","1069","7397500","1069"
"2005-03-31","1055","1084","1055","1084","6998500","1084"
"2005-04-01","1075","1090","1065","1090","7145500","1090"
"2005-04-04","1090","1102","1082","1095","3831500","1095"
"2005-04-05","1104","1123","1102","1112","7284000","1112"
"2005-04-06","1118","1127","1116","1120","5429000","1120"
"2005-04-07","1120","1133","1120","1132","5967500","1132"
"2005-04-08","1150","1151","1122","1127","4066000","1127"
"2005-04-11","1121","1123","1107","1113","3215500","1113"
"2005-04-12","1120","1120","1103","1112","2433000","1112"
"2005-04-13","1119","1124","1107","1112","2504500","1112"
"2005-04-14","1103","1113","1090","1095","2314000","1095"
"2005-04-15","1085","1085","1060","1070","2530000","1070"
"2005-04-18","1056","1058","1032","1047","3744000","1047"
"2005-04-19","1046","1059","1044","1045","3212000","1045"
"2005-04-20","1047","1055","1038","1043","2215000","1043"
"2005-04-21","1014","1050","1011","1036","3199000","1036"
"2005-04-22","1051","1055","1034","1039","2972000","1039"
"2005-04-25","1037","1037","1015","1020","2654000","1020"
"2005-04-26","1025","1029","1020","1025","2094500","1025"
"2005-04-27","1017","1025","1006","1007","1795500","1007"
"2005-04-28","1004","1012","995","1012","2198500","1012"
"2005-05-02","1012","1027","1003","1020","2238500","1020"
"2005-05-06","1041","1041","1026","1041","2784500","1041"
"2005-05-09","1042","1048","1031","1039","3175000","1039"
"2005-05-10","1034","1038","1023","1029","1519500","1029"
"2005-05-11","1029","1033","1020","1027","1538000","1027"
"2005-05-12","1027","1035","1017","1021","1785500","1021"
"2005-05-13","1001","1007","988","997","5109000","997"
"2005-05-16","981","982","953","956","6055000","956"
"2005-05-17","974","982","959","967","5849500","967"
"2005-05-18","968","972","960","967","2094000","967"
"2005-05-19","977","996","973","994","2159000","994"
"2005-05-20","997","997","971","975","2475000","975"
"2005-05-23","970","971","961","968","2358000","968"
"2005-05-24","971","974","951","958","3513500","958"
"2005-05-25","949","949","927","945","6202000","945"
"2005-05-26","945","946","932","941","1536000","941"
"2005-05-27","951","965","951","964","2449500","964"
"2005-05-30","961","975","961","975","3376000","975"
"2005-05-31","976","979","966","975","2731000","975"
"2005-06-01","965","965","955","959","1909500","959"
"2005-06-02","960","977","960","966","1961500","966"
"2005-06-03","967","967","954","960","2284000","960"
"2005-06-06","953","953","935","945","1982000","945"
"2005-06-07","941","947","931","933","1518000","933"
"2005-06-08","930","934","923","923","2718000","923"
"2005-06-09","940","957","931","944","4012500","944"
"2005-06-10","984","992","978","987","9665500","987"
"2005-06-13","993","1001","987","988","3113000","988"
"2005-06-14","997","1021","991","1017","5498000","1017"
"2005-06-15","1037","1066","1032","1044","7575500","1044"
"2005-06-16","1030","1054","1026","1033","4560000","1033"
"2005-06-17","1060","1067","1038","1047","3012000","1047"
"2005-06-20","1060","1067","1051","1067","3122500","1067"
"2005-06-21","1065","1067","1056","1067","2827000","1067"
"2005-06-22","1052","1059","1046","1047","3727500","1047"
"2005-06-23","1050","1060","1048","1058","2028500","1058"
"2005-06-24","1029","1043","1025","1025","3872000","1025"
"2005-06-27","1020","1023","1004","1009","2651500","1009"
"2005-06-28","1018","1040","1010","1039","2581000","1039"
"2005-06-29","1059","1064","1034","1037","3144500","1037"
"2005-06-30","1030","1054","1023","1036","2881500","1036"
"2005-07-01","1021","1048","1021","1035","1668000","1035"
"2005-07-04","1050","1052","1034","1038","1571000","1038"
"2005-07-05","1030","1032","1012","1015","2164000","1015"
"2005-07-06","1033","1044","1029","1030","2175000","1030"
"2005-07-07","1040","1040","1025","1028","1133500","1028"
"2005-07-08","1030","1038","1017","1020","2842000","1020"
"2005-07-11","1030","1036","1027","1027","1407000","1027"
"2005-07-12","1030","1037","1030","1034","1363000","1034"
"2005-07-13","1040","1052","1035","1051","2328000","1051"
"2005-07-14","1063","1084","1056","1083","3420500","1083"
"2005-07-15","1100","1112","1085","1104","5071500","1104"
"2005-07-19","1098","1101","1087","1101","2485000","1101"
"2005-07-20","1101","1103","1088","1096","2474000","1096"
"2005-07-21","1097","1100","1091","1091","1609000","1091"
"2005-07-22","1080","1083","1064","1075","2046500","1075"
"2005-07-25","1095","1097","1073","1075","1074500","1075"
"2005-07-26","1065","1074","1052","1052","1982500","1052"
"2005-07-27","1056","1072","1056","1059","1971500","1059"
"2005-07-28","1070","1070","1045","1049","2176000","1049"
"2005-07-29","1050","1053","1027","1028","4269000","1028"
"2005-08-01","1008","1028","1008","1013","3474500","1013"
"2005-08-02","1017","1020","999","1000","2712000","1000"
"2005-08-03","1000","1002","986","996","2280000","996"
"2005-08-04","1065","1095","1032","1062","8041000","1062"
"2005-08-05","1066","1067","1054","1063","3385500","1063"
"2005-08-08","1065","1086","1052","1086","4041500","1086"
"2005-08-09","1087","1103","1073","1099","3265000","1099"
"2005-08-10","1098","1109","1090","1100","2889500","1100"
"2005-08-11","1105","1105","1078","1086","2310000","1086"
"2005-08-12","1090","1101","1082","1093","1877000","1093"
"2005-08-15","1087","1097","1086","1096","1188500","1096"
"2005-08-16","1097","1097","1089","1091","1824000","1091"
"2005-08-17","1082","1089","1073","1073","2295000","1073"
"2005-08-18","1066","1072","1046","1048","3381500","1048"
"2005-08-19","1041","1047","1030","1033","2738000","1033"
"2005-08-22","1040","1096","1039","1086","3260500","1086"
"2005-08-23","1100","1100","1071","1071","2673500","1071"
"2005-08-24","1073","1084","1071","1072","2002500","1072"
"2005-08-25","1071","1071","1050","1056","2299000","1056"
"2005-08-26","1071","1074","1064","1068","1079000","1068"
"2005-08-29","1078","1084","1071","1078","2303000","1078"
"2005-08-30","1070","1071","1062","1067","2137000","1067"
"2005-08-31","1087","1092","1061","1061","2031500","1061"
"2005-09-01","1075","1078","1058","1065","2692500","1065"
"2005-09-02","1066","1070","1054","1059","1654500","1059"
"2005-09-05","1060","1070","1047","1068","1623500","1068"
"2005-09-06","1055","1066","1045","1047","1857000","1047"
"2005-09-07","1060","1060","1043","1046","1626000","1046"
"2005-09-08","1043","1047","1029","1035","2360000","1035"
"2005-09-09","1038","1074","1024","1063","6765000","1063"
"2005-09-12","1078","1082","1064","1074","2992500","1074"
"2005-09-13","1071","1071","1053","1055","2028500","1055"
"2005-09-14","1056","1065","1055","1057","2186500","1057"
"2005-09-15","1065","1103","1060","1102","4343500","1102"
"2005-09-16","1103","1103","1090","1095","2706000","1095"
"2005-09-20","1075","1094","1075","1093","1635000","1093"
"2005-09-21","1067","1078","1055","1061","3481500","1061"
"2005-09-22","1040","1058","1033","1033","5274500","1033"
"2005-09-26","1038","1042","1030","1037","2867500","1037"
"2005-09-27","1052","1053","998","998","6974000","998"
"2005-09-28","1008","1028","1008","1013","2817500","1013"
"2005-09-29","1033","1033","1011","1021","3383500","1021"
"2005-09-30","1032","1042","1022","1032","3385500","1032"
"2005-10-03","1033","1038","1020","1024","1900000","1024"
"2005-10-04","1036","1064","1024","1062","3816000","1062"
"2005-10-05","1069","1069","1042","1060","4337000","1060"
"2005-10-06","1045","1049","1026","1048","4274500","1048"
"2005-10-07","1048","1048","1020","1024","2606000","1024"
"2005-10-11","1018","1033","1004","1033","4429000","1033"
"2005-10-12","1020","1021","1001","1003","5609500","1003"
"2005-10-13","1003","1004","970","979","6262500","979"
"2005-10-14","984","984","965","970","5435500","970"
"2005-10-17","973","977","960","967","3427000","967"
"2005-10-18","977","985","971","978","3826500","978"
"2005-10-19","979","985","967","980","3588000","980"
"2005-10-20","990","996","975","980","2881500","980"
"2005-10-21","981","982","965","977","2115500","977"
"2005-10-24","978","979","961","963","1748000","963"
"2005-10-25","960","965","942","951","4334500","951"
"2005-10-26","953","979","953","976","3942500","976"
"2005-10-27","977","977","951","952","3451500","952"
"2005-10-28","953","967","933","954","4522000","954"
"2005-10-31","964","972","956","961","2094000","961"
"2005-11-01","961","961","950","956","2662500","956"
"2005-11-02","960","985","959","984","3618000","984"
"2005-11-04","1012","1016","1001","1010","4464500","1010"
"2005-11-07","908","957","905","957","11330500","957"
"2005-11-08","977","1016","971","1005","9795000","1005"
"2005-11-09","997","1006","987","1002","4734500","1002"
"2005-11-10","1015","1036","1012","1034","4798000","1034"
"2005-11-11","1047","1047","1040","1043","4752000","1043"
"2005-11-14","1044","1061","1043","1053","3500500","1053"
"2005-11-15","1060","1090","1058","1083","5270000","1083"
"2005-11-16","1087","1089","1072","1078","3245500","1078"
"2005-11-17","1084","1084","1060","1065","3526000","1065"
"2005-11-18","1074","1100","1065","1098","3666500","1098"
"2005-11-21","1128","1147","1116","1134","6038000","1134"
"2005-11-22","1139","1139","1101","1125","2511000","1125"
"2005-11-24","1138","1149","1121","1135","3500500","1135"
"2005-11-25","1125","1125","1093","1111","2333000","1111"
"2005-11-28","1140","1151","1133","1143","4180000","1143"
"2005-11-29","1144","1144","1114","1119","3195000","1119"
"2005-11-30","1120","1123","1082","1099","4145000","1099"
"2005-12-01","1062","1102","1062","1100","4500000","1100"
"2005-12-02","1123","1130","1105","1117","3320500","1117"
"2005-12-05","1099","1125","1097","1113","2219500","1113"
"2005-12-06","1100","1104","1085","1091","2134000","1091"
"2005-12-07","1103","1110","1094","1104","1921500","1104"
"2005-12-08","1110","1115","1087","1087","2386000","1087"
"2005-12-09","1076","1095","1076","1088","4949000","1088"
"2005-12-12","1092","1114","1085","1104","1661000","1104"
"2005-12-13","1124","1141","1117","1131","5352500","1131"
"2005-12-14","1124","1126","1090","1094","2968000","1094"
"2005-12-15","1095","1105","1086","1092","3679500","1092"
"2005-12-16","1092","1094","1056","1060","2620500","1060"
"2005-12-19","1072","1090","1069","1086","1257500","1086"
"2005-12-20","1106","1125","1086","1120","3212500","1120"
